manzanac,,pred2029,pred2029_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,1.392278912,2,1,1,2,1,1,2,1,2,2,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5
7.60E+21,,1,0.715265681,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1
7.60E+21,,1,0.746998379,1,1,1,1,0,1,1,1,1,1,1,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0,0,2
7.60E+21,,5,5.041428571,5,5,5,6,5,6,6,5,6,7,7,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7,7,13
7.60E+21,,1,0.865706783,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1,0,4
7.60E+21,,0,0.350540937,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0,1,0
7.60E+21,,1,1.49874343,1,1,2,2,1,1,2,2,1,2,2,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1,10,3
7.60E+21,,0,0.458807179,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2,2,2
7.60E+21,,0,0.124458435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1
7.60E+21,,2,2.318928571,3,3,3,3,3,3,4,3,4,4,4,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4,5,6
7.60E+21,,1,1.101483516,1,2,2,1,2,2,1,1,2,2,2,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6,2,4
7.60E+21,,1,0.544809376,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2,0,1
7.60E+21,,1,0.607216979,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1,1,5
7.60E+21,,2,1.992919255,2,2,2,2,2,2,2,2,2,2,2,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7,5,6
7.60E+21,,0,0.164175021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3
7.60E+21,,0,0.002013967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.449936464,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0,0,0
7.60E+21,,0,0.049560587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
7.60E+21,,0,0.122698926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,0,1
7.60E+21,,7,6.794285714,6,6,7,7,6,7,7,6,7,8,8,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8,3,13
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.591687328,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0,2,0
7.60E+21,,0,0.017193121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
7.60E+21,,1,0.566460158,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0
7.60E+21,,0,0.189747312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2
7.60E+21,,1,0.602893128,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,0,1,0,1,0,2,1,2,1,4,0,1,0
7.60E+21,,1,0.575838484,1,1,1,0,1,0,1,1,1,1,1,0,0,0,3,1,1,0,2,0,0,1,0,0,0,2,1,2,0
7.60E+21,,1,0.507124761,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,0,2,2,1,1,1,1,2,1
7.60E+21,,1,0.702094615,1,1,1,1,1,1,1,1,1,1,1,0,1,3,0,2,1,1,2,0,1,0,1,1,2,1,0,3,1
7.60E+21,,0,0.215417244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7.60E+21,,0,0.138285787,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1
7.60E+21,,0,0.029944515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.60E+21,,0,0.068423382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
7.60E+21,,0,0.254733961,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,1,0,1
7.60E+21,,5,5.018571429,5,5,5,5,5,6,6,6,6,7,6,7,9,8,7,7,8,12,5,10,7,7,4,7,9,5,6,6,10
7.60E+21,,5,4.697142857,5,5,5,6,5,5,6,5,6,6,6,8,10,5,14,4,12,14,6,10,14,8,10,11,7,7,13,7,3
